2026-07-15 23:14:50,789 | INFO | ============================================================
2026-07-15 23:32:46,379 | INFO | INSERT INTO transactions (transaction_time, amount, prediction, fraud_probability) VALUES (%(transaction_time)s, %(amount)s, %(prediction)s, %(fraud_probability)s) RETURNING transactions.id, transactions.created_at
2026-07-15 23:32:46,380 | INFO | [generated in 0.00075s] {'transaction_time': 1.0, 'amount': 378.66, 'prediction': 0, 'fraud_probability': 0.00013596410281024873}
2026-07-15 23:32:46,390 | INFO | COMMIT
2026-07-15 23:32:46,392 | INFO | Refreshing Database Object
2026-07-15 23:32:46,393 | INFO | BEGIN (implicit)
2026-07-15 23:32:46,395 | INFO | SELECT transactions.id, transactions.transaction_time, transactions.amount, transactions.prediction, transactions.fraud_probability, transactions.created_at 
FROM transactions 
WHERE transactions.id = %(pk_1)s
2026-07-15 23:32:46,396 | INFO | [generated in 0.00055s] {'pk_1': 3}
2026-07-15 23:32:46,397 | INFO | Transaction Saved Successfully (ID=3)
2026-07-15 23:32:46,398 | INFO | Transaction Saved Successfully
2026-07-15 23:32:46,398 | INFO | Prediction Service Completed
2026-07-15 23:32:46,398 | INFO | Prediction Completed Successfully
2026-07-15 23:32:46,401 | INFO | ROLLBACK
2026-07-15 23:34:23,383 | INFO | ============================================================
2026-07-15 23:34:23,383 | INFO | Starting Real-Time Financial Fraud Detection API...
2026-07-15 23:34:23,384 | INFO | Application Version : 1.0.0
2026-07-15 23:34:23,386 | INFO | All API Routes Registered Successfully.
2026-07-15 23:34:40,684 | INFO | Loading XGBoost Model...
2026-07-15 23:34:40,762 | INFO | XGBoost Model Loaded Successfully
2026-07-15 23:34:40,769 | INFO | ============================================================
2026-07-15 23:34:40,769 | INFO | Starting Real-Time Financial Fraud Detection API...
2026-07-15 23:34:40,769 | INFO | Application Version : 1.0.0
2026-07-15 23:34:40,772 | INFO | All API Routes Registered Successfully.
2026-07-15 23:36:37,682 | INFO | Loading XGBoost Model...
2026-07-15 23:36:37,765 | INFO | XGBoost Model Loaded Successfully
2026-07-15 23:36:37,772 | INFO | ============================================================
2026-07-15 23:36:37,773 | INFO | Starting Real-Time Financial Fraud Detection API...
2026-07-15 23:36:37,773 | INFO | Application Version : 1.0.0
2026-07-15 23:36:37,775 | INFO | All API Routes Registered Successfully.
